,MSFT,HON,KO,XOM,GE,GM,IBM,MO,KODK,CVX,AAPL,GT,DWDP,UTX,PG,CAT,WBA,BA,IP,PFE,JNJ,MMM,MRK,DIS,HPQ,MCD,JPM,WMT,NKE,AXP,INTC,BAC,TRV,VZ,T,HD,AIG,C,CSCO,GS,MDLZ,V,UNH
JNJ,0.523836541454,0.265653829849,0.632530327067,0.509870053166,0.0860155763718,0.137754567322,0.478440351394,0.161743009244,0.0404035889897,0.583150784263,0.469797579301,0.264275253204,0.553565062296,0.50703389414,0.639353917835,0.61821423732,0.495134007158,0.523866935346,0.195730956305,0.727954021688,1.0,0.714512214376,0.545895616384,0.575497029601,0.23277350086,0.505022363287,0.647604397836,0.472199279363,0.439741956435,0.630668108417,0.406826206438,0.233373196521,0.414662678589,0.55656338167,0.177252111975,0.655639012541,0.0695569988421,0.244098642924,0.594061499373,0.618771371119,0.131456236818,0.656479230871,0.601551156237
MMM,0.745738626087,0.470017339808,0.701557028424,0.598623533035,0.230402924236,0.334586836126,0.697734691155,0.271036784229,-0.00483175381114,0.647505870957,0.596768088452,0.329777191231,0.749032867331,0.684586610452,0.531347386628,0.7272748673,0.475669312155,0.702556952006,0.427511067726,0.840513965446,0.714512214376,1.0,0.568827870149,0.71175967955,0.425338676766,0.652400914292,0.812189033113,0.531429742338,0.61386687036,0.768749810227,0.596641533574,0.43065639198,0.703802891719,0.603644121036,0.299420660525,0.775870400932,0.230614028284,0.440254333429,0.745163618288,0.721238847712,0.298070821672,0.759149487253,0.716130051661
MRK,0.301792142727,0.285770062519,0.618840649236,0.450509515742,0.222858391446,0.194640372191,0.463258868242,0.259326770881,0.0656049132241,0.308290817304,0.349034896929,0.201200647188,0.29584466403,0.343682283649,0.455383283804,0.30333838213,0.412590230763,0.29815776405,0.264796500611,0.573253418678,0.545895616384,0.568827870149,1.0,0.436549399651,0.3477854786,0.474532239411,0.416127267556,0.457285036868,0.235156107793,0.436672659485,0.264248456559,0.23127795828,0.528922634894,0.49436314411,0.214845219342,0.424750661773,0.137142713334,0.325009671483,0.408055552685,0.496376432594,0.163780684759,0.422991483704,0.51417820996
DIS,0.689850576326,0.364285689108,0.540356839405,0.678400550016,0.179218083899,0.232611206574,0.548005664416,0.177080705411,-0.0141000046396,0.668637405957,0.596823323241,0.26869418701,0.659896323384,0.494704091241,0.465684783726,0.565170663574,0.489669938436,0.468465398901,0.279251606701,0.700142729441,0.575497029601,0.71175967955,0.436549399651,1.0,0.352726279983,0.489132256019,0.71601759485,0.407046668999,0.602462275464,0.700266174695,0.5496712899,0.286665984829,0.588402021233,0.622127606682,0.208436709173,0.741371600096,0.0628747526986,0.288619338708,0.718067175448,0.681439077935,0.223714242314,0.663665229295,0.507436312895
HPQ,0.271911556577,0.674278586779,0.326712383961,0.407216569381,0.196569027242,0.31801955241,0.366120088574,0.543572525798,0.188203869471,0.331598012374,0.295253430615,0.680914715457,0.245186563725,0.309124713964,0.148126528207,0.321992770999,0.25361794216,0.294110269443,0.726871131107,0.331108499114,0.23277350086,0.425338676766,0.3477854786,0.352726279983,1.0,0.219395347701,0.398330719058,0.167522956226,0.368512506896,0.441043504198,0.347099563352,0.748149943941,0.444898724997,0.329606458042,0.513736354945,0.227671794225,0.270953505568,0.709966760297,0.382768689877,0.343675619892,0.540523465342,0.378984075365,0.356493570947
MCD,0.546355286459,0.430644432661,0.527014190146,0.419428839136,0.150877970107,0.461556533598,0.513394606454,0.240746689205,0.0441936908402,0.506348095126,0.465610623114,0.375634851384,0.524606931017,0.523651366251,0.381908293761,0.614010690194,0.437458149185,0.472576413594,0.342998750857,0.608413465483,0.505022363287,0.652400914292,0.474532239411,0.489132256019,0.219395347701,1.0,0.60359935574,0.366195094451,0.480018125237,0.562465061066,0.415482495792,0.313467853909,0.57843978927,0.491248481695,0.180694329145,0.630672476417,0.226616248153,0.387097075384,0.494165276841,0.526076506428,0.00482876774904,0.580597395057,0.6300950859
JPM,0.82437785808,0.352129619513,0.5865944524,0.61324847742,0.172521009339,0.351917686607,0.72975845137,0.19325069725,0.119073693716,0.741398424156,0.690754948542,0.348177232754,0.753286551349,0.694361366263,0.440063272088,0.792503580099,0.487726366375,0.710465452665,0.388922779715,0.681129296969,0.647604397836,0.812189033113,0.416127267556,0.71601759485,0.398330719058,0.60359935574,1.0,0.423020306405,0.663756436594,0.886123468311,0.582587003059,0.457868598353,0.742417810591,0.600700846663,0.121066219618,0.817520490632,0.183600725472,0.447188142823,0.809198779732,0.856277641634,0.246317472589,0.863390873737,0.654089627734
WMT,0.384314031556,0.186609956635,0.592755644816,0.417483959687,0.0530071798721,0.139128822085,0.44368954644,0.238775419149,0.00639670463029,0.361430646291,0.322292892257,0.222051518401,0.396861059467,0.496771569528,0.457087131022,0.377651954973,0.410783457985,0.377213268636,0.302800486854,0.5269486001,0.472199279363,0.531429742338,0.457285036868,0.407046668999,0.167522956226,0.366195094451,0.423020306405,1.0,0.381849356369,0.332520699723,0.300037728602,0.115194642055,0.524178105802,0.538625165958,0.238372104286,0.512143338546,0.00605126776087,0.16328492179,0.504409093326,0.415970202081,0.155630542893,0.438131346474,0.49032191399
NKE,0.598982455703,0.340744442776,0.512020518717,0.433624894837,0.150131772977,0.237456888928,0.398921454759,0.191643345089,0.00868402648424,0.511260471979,0.488626828331,0.278569906345,0.55078729883,0.519531639577,0.362106092993,0.622533889599,0.339992786345,0.501769720809,0.316123714003,0.510350173331,0.439741956435,0.61386687036,0.235156107793,0.602462275464,0.368512506896,0.480018125237,0.663756436594,0.381849356369,1.0,0.641230777803,0.430974640409,0.413169959521,0.639845167055,0.517674090455,0.173431471847,0.651728730403,0.170097385765,0.364939908037,0.626390024655,0.554939403675,0.255190449435,0.614206661288,0.510233250605
AXP,0.768598259569,0.381207524209,0.590659796823,0.59920823553,0.280190829969,0.385060728597,0.738379596377,0.264898249354,0.125622858987,0.659482696034,0.669289167902,0.319072256594,0.742540575668,0.636568263437,0.502598378082,0.723041083591,0.445948379794,0.712394357674,0.411287932915,0.67952833976,0.630668108417,0.768749810227,0.436672659485,0.700266174695,0.441043504198,0.562465061066,0.886123468311,0.332520699723,0.641230777803,1.0,0.485278547213,0.417962771586,0.69056827332,0.613224403314,0.169209683786,0.747103590618,0.177543420838,0.437199995543,0.71938849128,0.777457569024,0.184369630107,0.828437799421,0.62175426015
INTC,0.657773780049,0.386800781443,0.409960070163,0.422197592812,-0.108478781488,0.0600228586261,0.494508208384,0.0667128141223,-0.0601143859497,0.530204994521,0.544484375084,0.261658031758,0.535765158326,0.398628337615,0.232268718025,0.441689541863,0.377150007926,0.41616547371,0.341258230803,0.652574012363,0.406826206438,0.596641533574,0.264248456559,0.5496712899,0.347099563352,0.415482495792,0.582587003059,0.300037728602,0.430974640409,0.485278547213,1.0,0.264279652166,0.460990170801,0.432060332811,0.238834096844,0.580725572305,0.0862160789715,0.240440983832,0.672592443327,0.48111473522,0.214200288256,0.653465830861,0.46702092292
BAC,0.269874996755,0.739922350441,0.325842506276,0.278228473428,0.311823269468,0.394236160211,0.347374036959,0.479838135123,0.167839283879,0.255772887295,0.290135237078,0.587860994858,0.296565025403,0.234684630531,0.097520774427,0.387972113988,0.122804761737,0.33349938255,0.620114715115,0.295578927276,0.233373196521,0.43065639198,0.23127795828,0.286665984829,0.748149943941,0.313467853909,0.457868598353,0.115194642055,0.413169959521,0.417962771586,0.264279652166,1.0,0.414884394669,0.213403931207,0.460317585366,0.190034850142,0.474565535055,0.915165456087,0.390142865439,0.366054641119,0.580080414279,0.345379889474,0.354074361689
TRV,0.638231018218,0.389100163798,0.671546895171,0.559182129017,0.200487627658,0.280142256855,0.636696099173,0.400638391545,0.0214488899832,0.477361900213,0.478049942394,0.433444453179,0.552046365499,0.561985132893,0.293498932001,0.592144964791,0.454165994862,0.546138818894,0.430139326759,0.599315850932,0.414662678589,0.703802891719,0.528922634894,0.588402021233,0.444898724997,0.57843978927,0.742417810591,0.524178105802,0.639845167055,0.69056827332,0.460990170801,0.414884394669,1.0,0.619745929605,0.333137017122,0.697023979574,0.272255076917,0.429554796239,0.609235904012,0.652915667205,0.322084838576,0.663971887514,0.643011241759
VZ,0.549501575211,0.278969389515,0.753520824432,0.547348818857,0.199693429951,0.202911664839,0.437009016621,0.359836057337,0.124921854168,0.568188509399,0.393908119849,0.424459507318,0.477998124926,0.435811126474,0.639087595404,0.438411618665,0.530977959637,0.422863122706,0.384084184085,0.595441854133,0.55656338167,0.603644121036,0.49436314411,0.622127606682,0.329606458042,0.491248481695,0.600700846663,0.538625165958,0.517674090455,0.613224403314,0.432060332811,0.213403931207,0.619745929605,1.0,0.217848209127,0.688019874873,0.132608097734,0.267068610516,0.506860296252,0.621129269082,0.233679954555,0.585935146299,0.520135482302
T,0.0762136025622,0.503184990152,0.295563164887,0.178890729749,0.170846047649,0.160490921158,0.155948767356,0.729377455635,-0.246758961112,-0.0281015501919,-7.28422441418e-05,0.479834299365,0.0943889746492,0.0208057303937,0.191136641329,0.123940378176,0.167351306404,0.106711648047,0.496416870641,0.304155339192,0.177252111975,0.299420660525,0.214845219342,0.208436709173,0.513736354945,0.180694329145,0.121066219618,0.238372104286,0.173431471847,0.169209683786,0.238834096844,0.460317585366,0.333137017122,0.217848209127,1.0,0.0601684321546,0.190961238084,0.430672032448,0.13068293065,0.0847790531311,0.558689980835,0.0968666604398,0.269674803855
HD,0.765787187668,0.235651791036,0.669939850524,0.636940127756,0.090304868971,0.327675290347,0.641949366098,0.0580379945764,0.00962369105271,0.778613884972,0.636636553349,0.316924374902,0.804279874408,0.654430085517,0.587754059318,0.73885908912,0.566540164527,0.685886260993,0.277293254471,0.706386788627,0.655639012541,0.775870400932,0.424750661773,0.741371600096,0.227671794225,0.630672476417,0.817520490632,0.512143338546,0.651728730403,0.747103590618,0.580725572305,0.190034850142,0.697023979574,0.688019874873,0.0601684321546,1.0,0.0824228375423,0.229536889238,0.730610652832,0.728881014503,0.125678171218,0.826408989835,0.697179731572
AIG,0.00861370043859,0.530125876186,0.289266601588,0.16693227262,0.416858481899,0.313745243425,0.101007921057,0.472088699955,0.116175493607,0.0503407914301,-0.0965378797066,0.341233092517,0.0548273291428,-0.0021548814227,-0.038710202842,0.110128659667,0.0965561315411,0.0946432922723,0.44833660065,0.118945536524,0.0695569988421,0.230614028284,0.137142713334,0.0628747526986,0.270953505568,0.226616248153,0.183600725472,0.00605126776087,0.170097385765,0.177543420838,0.0862160789715,0.474565535055,0.272255076917,0.132608097734,0.190961238084,0.0824228375423,1.0,0.589235020173,0.0051959268932,0.164483071393,0.401520372994,0.0699664512217,0.20422698001
C,0.251336467535,0.814708898647,0.403673845743,0.391186385815,0.43602572816,0.519856624764,0.354492265907,0.561146261301,0.250261422455,0.306126018201,0.281370841231,0.635722020182,0.312428356366,0.202739935188,0.154169689109,0.351953260882,0.177135230405,0.31526533105,0.671051516445,0.333473087981,0.244098642924,0.440254333429,0.325009671483,0.288619338708,0.709966760297,0.387097075384,0.447188142823,0.16328492179,0.364939908037,0.437199995543,0.240440983832,0.915165456087,0.429554796239,0.267068610516,0.430672032448,0.229536889238,0.589235020173,1.0,0.328817476651,0.420564427163,0.467052679511,0.345955169703,0.393873233446
CSCO,0.806485181293,0.332709474119,0.526382257469,0.558235993565,0.0151694347488,0.216739181096,0.697608557289,0.079106426273,0.0475874885426,0.65048834815,0.790148468138,0.244617985338,0.676662391198,0.643765611117,0.429539756434,0.651694971304,0.522295066473,0.643672796824,0.331842731996,0.712326908026,0.594061499373,0.745163618288,0.408055552685,0.718067175448,0.382768689877,0.494165276841,0.809198779732,0.504409093326,0.626390024655,0.71938849128,0.672592443327,0.390142865439,0.609235904012,0.506860296252,0.13068293065,0.730610652832,0.0051959268932,0.328817476651,1.0,0.731169547015,0.228734160493,0.828659882384,0.58428238592
GS,0.749377828776,0.288466913912,0.546228326205,0.564855653505,0.253261635954,0.375698175401,0.559252713013,0.229909675307,0.0943224200116,0.640625084168,0.672682833444,0.288709751255,0.672473085934,0.583902860988,0.478901590602,0.691999773937,0.507933847885,0.555702504093,0.315969833605,0.611632304084,0.618771371119,0.721238847712,0.496376432594,0.681439077935,0.343675619892,0.526076506428,0.856277641634,0.415970202081,0.554939403675,0.777457569024,0.48111473522,0.366054641119,0.652915667205,0.621129269082,0.0847790531311,0.728881014503,0.164483071393,0.420564427163,0.731169547015,1.0,0.199523087136,0.780335751001,0.54549193999
MDLZ,0.13330471902,0.426508034277,0.194744106063,0.118563187155,0.181507506149,0.134798605128,0.278551595717,0.513936167978,-0.0437627876204,0.0591863810425,0.0139012767845,0.4733023255,0.119717751193,0.0815202918303,0.0598104626919,0.166820679464,0.0995064616392,0.0920915417603,0.581560573171,0.175254323461,0.131456236818,0.298070821672,0.163780684759,0.223714242314,0.540523465342,0.00482876774904,0.246317472589,0.155630542893,0.255190449435,0.184369630107,0.214200288256,0.580080414279,0.322084838576,0.233679954555,0.558689980835,0.125678171218,0.401520372994,0.467052679511,0.228734160493,0.199523087136,1.0,0.133530206634,0.310594025587
V,0.871544787936,0.279270367299,0.584330727775,0.62157173,0.02956545699,0.268503746032,0.766897806903,0.108216687016,0.110128262219,0.7256194462,0.803039588478,0.333152896026,0.761978992075,0.657503491241,0.463527746161,0.748502500053,0.533908762896,0.717000680141,0.365074222382,0.678677804226,0.656479230871,0.759149487253,0.422991483704,0.663665229295,0.378984075365,0.580597395057,0.863390873737,0.438131346474,0.614206661288,0.828437799421,0.653465830861,0.345379889474,0.663971887514,0.585935146299,0.0968666604398,0.826408989835,0.0699664512217,0.345955169703,0.828659882384,0.780335751001,0.133530206634,1.0,0.679276572785
UNH,0.592797860465,0.40739955967,0.5952124276,0.473721492147,0.0196146794472,0.314549883823,0.681739616166,0.221707102712,0.00442804228177,0.557819668119,0.528800246479,0.245777547738,0.594722712815,0.480726914235,0.417274934612,0.526111214929,0.551132685757,0.552320210332,0.415065626,0.734359184346,0.601551156237,0.716130051661,0.51417820996,0.507436312895,0.356493570947,0.6300950859,0.654089627734,0.49032191399,0.510233250605,0.62175426015,0.46702092292,0.354074361689,0.643011241759,0.520135482302,0.269674803855,0.697179731572,0.20422698001,0.393873233446,0.58428238592,0.54549193999,0.310594025587,0.679276572785,1.0
