gen,AVG,STD,MIN,MAX
125,0.109118667,0.00446865,0.099319833,0.117687
126,0.137591333,0.00596301,0.120994667,0.144876333
127,0.143016333,0.004483183,0.131136333,0.15073
128,0.148361667,0.004467743,0.13968,0.158103667
129,0.076722067,0.004580153,0.065169833,0.082978067
130,0.081433433,0.00412997,0.065633033,0.086578933
131,0.0845581,0.002805077,0.080776867,0.091189633
132,0.122500667,0.014186533,0.104467467,0.149233333
133,0.148637667,0.015789733,0.121428,0.176976
134,0.169897667,0.013554337,0.138886,0.19245
135,0.049075333,0.00722907,0.034234,0.0610321
136,0.0575181,0.00559178,0.045774,0.064306
137,0.062525,0.002766503,0.050365633,0.065397233
138,0.157282667,0.009713937,0.144036667,0.178440333
139,0.170264667,0.010397977,0.149799667,0.184604
140,0.181421333,0.008154817,0.153803,0.195165667
141,0.178801333,0.01160553,0.1514,0.206124667
142,0.192773333,0.011633943,0.170355667,0.208570333
143,0.204546,0.007003053,0.183692333,0.212661333
144,0.208079667,0.004756663,0.197059667,0.217517333
145,0.213829,0.005559273,0.203085667,0.222475333
146,0.220782,0.004894287,0.207664,0.227416667
147,0.201005,0.006647747,0.185557,0.213348333
148,0.207919,0.005815747,0.190185667,0.213348333
149,0.212689,0.004704417,0.201045333,0.22069
150,0.218394,0.00303996,0.212928333,0.221269667
151,0.220937333,0.002533353,0.209678333,0.222966667
152,0.223167333,0.002113615,0.218462333,0.228270667
153,0.064117467,0.009153707,0.052731033,0.085650133
154,0.077951167,0.00985294,0.0570543,0.090988133
155,0.0889272,0.00686969,0.071408,0.0983022
156,0.144615333,0.017864,0.109273433,0.175887
157,0.166948667,0.009976873,0.144292,0.177355
158,0.176599667,0.006431593,0.161408,0.190211
159,0.0612541,0.00440606,0.048237167,0.071522167
160,0.067309033,0.004919267,0.057883667,0.075447367
161,0.073645167,0.004140437,0.064520333,0.0832076
162,0.149061333,0.013982397,0.118653667,0.171204667
163,0.167496,0.01027165,0.137311333,0.180109
164,0.178184333,0.00614707,0.162849333,0.191642667
165,0.170823667,0.008464797,0.155401667,0.183565
166,0.181835,0.006395313,0.165340667,0.199281333
167,0.188666,0.006626583,0.172987667,0.203203333
168,0.083777533,0.00927244,0.062896567,0.0985116
169,0.094123267,0.006943037,0.0736009,0.101253167
170,0.1004471,0.004536217,0.088195867,0.111462
171,0.07849,0.00315456,0.071457633,0.085200467
172,0.083912767,0.005072743,0.075250167,0.093887633
173,0.0901466,0.004635737,0.076752233,0.095254633
174,0.105753767,0.003958823,0.0922833,0.110614467
175,0.109394867,0.00203803,0.105038,0.1122894
176,0.111844367,0.002857362,0.103442,0.116546567
177,0.116762667,0.004740206,0.1087593,0.120939
178,0.121102667,0.003492207,0.110708667,0.128030333
179,0.124416667,0.003285802,0.119557,0.128095
180,0.130490333,0.015254877,0.106845233,0.157625
181,0.153271667,0.012691157,0.116994867,0.172910333
182,0.167122,0.00851814,0.143685333,0.175272
183,0.114003667,0.007202213,0.097172867,0.129234
184,0.123842667,0.007317963,0.112881,0.137323
185,0.133027333,0.005850717,0.118653667,0.139267333
186,0.136904,0.00641398,0.115159,0.145193667
187,0.141989333,0.004206273,0.130654333,0.148791333
188,0.146021,0.00452407,0.129047333,0.148791333
189,0.134652,0.003967985,0.126599667,0.138855333
190,0.137925,0.002322047,0.128083667,0.139799667
191,0.138931667,0.003317239,0.1191341,0.142194667
192,0.136127667,0.012890773,0.118176333,0.168105
193,0.159002,0.013780033,0.130334,0.177684667
194,0.173402667,0.008414217,0.148441,0.182075333
195,0.163688,0.00886533,0.147233667,0.178509667
196,0.176542,0.007038337,0.156171,0.189121
197,0.186577,0.00770562,0.176822333,0.205634333
198,0.174641667,0.007862303,0.158762333,0.186815667
199,0.184256333,0.006435923,0.165128667,0.193817
200,0.190649667,0.004746957,0.172860667,0.198421
201,0.197189333,0.00869016,0.173207333,0.208830667
202,0.205277,0.00545573,0.187389667,0.213470667
203,0.211984333,0.005755525,0.200783333,0.226757667
204,0.085738933,0.009104717,0.070680267,0.106981433
205,0.098722133,0.00764978,0.085770267,0.111725667
206,0.109230333,0.005944487,0.095433767,0.118984667
207,0.110428,0.00457451,0.095350267,0.122101333
208,0.117679667,0.00642718,0.1069249,0.132006333
209,0.127448667,0.006307867,0.112516333,0.136534333
210,0.153191333,0.018334567,0.106732333,0.173927667
211,0.170652667,0.00808829,0.142581667,0.177475667
212,0.175642,0.002022693,0.169316667,0.179687
213,0.135337,0.012381393,0.113403333,0.157006667
214,0.153264333,0.010912763,0.127238333,0.170298
215,0.167411667,0.009351737,0.146932,0.185448
216,0.100782033,0.007009167,0.0869404,0.113969
217,0.110688,0.006315757,0.094365567,0.121623
218,0.118839,0.00612896,0.1068433,0.131816667
219,0.160508667,0.01321384,0.122338,0.177011333
220,0.174584667,0.008094553,0.152954,0.188184333
221,0.182426667,0.005283646,0.174507,0.189644667
222,0.177504333,0.006597667,0.163655667,0.192021333
223,0.186961333,0.008957313,0.170822,0.209720333
224,0.201845,0.010903337,0.178948667,0.216420333
225,0.215357333,0.00843769,0.196278,0.231026333
226,0.226345333,0.007235263,0.199216333,0.231389333
227,0.230256667,0.00543137,0.204375667,0.23772
228,0.195339333,0.006274062,0.178043667,0.207923333
229,0.201897333,0.006356963,0.187062,0.214006667
230,0.210466667,0.006444683,0.195329667,0.217253
231,0.047809233,0.004351077,0.037715933,0.0568644
232,0.0562905,0.006646993,0.045757533,0.0714672
233,0.0663458,0.007214153,0.0508071,0.076862333
234,0.097294433,0.007122787,0.0764011,0.108073
235,0.105492667,0.004774267,0.091071,0.115589
236,0.113138333,0.00622497,0.102887667,0.124812
237,0.12497,0.008571757,0.108028867,0.134617
238,0.132921333,0.00381177,0.118352667,0.137806667
239,0.136351667,0.004100617,0.124447333,0.144397333
240,0.090818033,0.003357953,0.081864667,0.098481033
241,0.094747033,0.00421293,0.084439433,0.100443633
242,0.099478533,0.0037364,0.0909061,0.107956133
243,0.125853667,0.005514463,0.115356,0.136714
244,0.130921667,0.004752951,0.123100333,0.137136667
245,0.139176,0.007291497,0.127081,0.154054333
246,0.113524333,0.007871503,0.0880684,0.120699467
247,0.119258167,0.002934473,0.109629633,0.122692333
248,0.121684,0.00131278,0.1184645,0.122692333
249,0.147690667,0.005373107,0.127562133,0.150743
250,0.150609667,0.001852669,0.144146667,0.152464667
251,0.151254,0.003082583,0.134791,0.152776
252,0.16182,0.002564167,0.158566333,0.165610333
253,0.164915,0.002464445,0.159762333,0.168706
254,0.166686667,0.001996047,0.159762333,0.168708667
255,0.161597,0.003315393,0.146671667,0.165718
256,0.164177667,0.002912693,0.157869667,0.171041
257,0.167173667,0.003342793,0.161799333,0.171041
258,0.122183667,0.003231739,0.106806067,0.125122333
259,0.124325333,0.00265741,0.113919,0.128075333
260,0.125585,0.002865231,0.111208567,0.128075333
261,0.136593,0.003481649,0.131182,0.144661667
262,0.140276,0.00262057,0.133454667,0.144661667
263,0.143478333,0.00207212,0.139332333,0.145103
